2949
(25449283, 537100.5130847456, 4561759.043392847)
(25449396, 537330.9239581793, 4562520.707370329)
(25449585, 537369.4096249247, 4563227.428081359)
(25449700, 537392.5094063932, 4563314.450753521)
(25449701, 537457.192006854, 4563408.170523237)
(25449702, 537514.2478815457, 4563454.147558944)
(25449703, 537579.296432691, 4563487.732339371)
(25449704, 537659.9657097235, 4563512.150683091)
(25449705, 537872.0034127339, 4563504.989833351)
(25449706, 537917.2212867355, 4563492.813233242)
(25449707, 538124.5196843613, 4563422.388521722)
(25449709, 537547.731903869, 4564035.417442643)
(25449710, 537567.8899085504, 4564171.872781347)
(25449711, 537567.494019854, 4564326.673282319)
(25452376, 538278.345983886, 4563384.916093368)
(25452377, 538344.0093213351, 4563382.374825755)
(25452378, 538488.1105038318, 4563391.627242981)
(26122777, 536442.1742765919, 4564971.185297683)
(26122779, 536466.4257919629, 4565058.510717801)
(26122843, 536450.63309762, 4565064.3710939605)
(130212977, 537312.6032577024, 4562491.87128243)
(130212978, 537287.4615609377, 4562464.05501278)
(130212979, 537229.686154774, 4562422.550239872)
(130212980, 537185.036666872, 4562401.129225514)
(130212981, 537104.9814199243, 4562383.46929693)
(130212982, 537061.1390593087, 4562382.913232258)
(130212983, 537028.1286171367, 4562387.1972685885)
(130212984, 536938.4151328709, 4562419.181280023)
(130212985, 536895.039898821, 4562448.947287419)
(135806310, 537570.453607769, 4561164.65649458)
(135806313, 537772.2373807314, 4561191.554609161)
(135806316, 538062.4008540274, 4561206.107708062)
(263571489, 539614.5310019297, 4561439.805111227)
(263571491, 539552.4107343524, 4561441.210887497)
(263571496, 539460.716207123, 4561430.600465106)
(263571500, 539389.2345522594, 4561412.606691165)
(263571569, 538066.655096405, 4561218.352870307)
(263571587, 537585.9467031731, 4561184.575023422)
(263571623, 537463.9299831257, 4561179.928394262)
(263571638, 537261.4081468713, 4561170.864340997)
(269567665, 536997.4122579196, 4563349.969210085)
(269567666, 537011.6707780171, 4563415.941336111)
(269567667, 537022.3981978619, 4563439.398223014)
(269567668, 537037.9111465415, 4563458.028000723)
(269567669, 537095.134176856, 4563496.297995515)
(269567670, 537124.0530804287, 4563515.928756896)
(269567671, 537144.6584334024, 4563546.7521881955)
(269567672, 537185.926842527, 4563641.338314843)
(269567673, 537211.4998542869, 4563700.496673237)
(269567674, 537228.5710873365, 4563733.833506307)
(269567675, 537267.4591468285, 4563782.091618547)
(269567684, 536882.8531662609, 4562703.59168992)
(269567685, 536970.2964505508, 4562867.240676689)
(269567686, 536985.1221988122, 4562924.101069844)
(269567687, 536986.4579492221, 4562958.223365915)
(269567688, 536986.2832248353, 4563260.255356732)
(269567731, 537324.8313754336, 4563847.774389463)
(269567732, 537358.6582345047, 4563888.990800342)
(269567733, 537385.3168535597, 4563955.016249285)
(269567734, 537385.3251335267, 4563979.539998213)
(269567735, 537375.905676274, 4564113.24525036)
(269567736, 537358.5245983253, 4564441.400906131)
(269567737, 537371.5400889704, 4564532.945931021)
(269567738, 537390.0561307019, 4564576.537529826)
(269567739, 537434.0989989387, 4564643.152085468)
(269567740, 537466.0826282823, 4564673.6353481505)
(278486596, 536729.5757840077, 4563625.513130258)
(278486597, 536738.3517182065, 4563665.412492739)
(278486598, 536732.4123922628, 4563679.692651641)
