3135
(1274939486, 1274939515)
(1330637251, 404735096)
(503706166, 503706167)
(1274939514, 1274939488)
(1237295860, 1237295860)
(464762408, 464762409)
(464755717, 464755769)
(1330250480, 1330250068)
(1032260646, 1032260694)
(392954326, 701143519)
(1272148947, 1272146123)
(1330250224, 1330250279)
(458580228, 458580224)
(356802820, 356802816)
(410351537, 410351538)
(482743731, 482743730)
(1274939502, 1274939530)
(1232665826, 1232665852)
(392953465, 718771576)
(100165894, 100165898)
(1131574735, 1131574805)
(998195278, 100166630)
(1272466663, 1272466660)
(1271610599, 1271610596)
(530789058, 1173286454)
(1131574859, 1131574837)
(1330250460, 1330250412)
(384994723, 384994724)
(390064888, 391277672)
(330341307, 1340357524)
(534789241, 534823167)
(100174629, 100174630)
(385014565, 385014566)
(503706141, 503706142)
(1272143787, 1272143785)
(464755680, 464755897)
(385013744, 689479797)
(506348129, 506348134)
(1131574883, 428671591)
(1167473376, 1167473379)
(503706219, 503706220)
(1131574894, 1131574845)
(464755771, 464755773)
(1284646423, 1284646419)
(1330250219, 1330250564)
(698090402, 457547315)
(1131574784, 1131574702)
(503706269, 503706272)
(385013748, 385013706)
(1272483344, 1272495226)
(1280631294, 1280631300)
(100166213, 100166204)
(100168513, 100168449)
(464757296, 464757298)
(390067648, 390067650)
(1280615257, 1271592764)
(1052277912, 1052278227)
(404737176, 530710653)
(888393441, 888393292)
(1271610602, 1271610598)
(506296062, 506296061)
(100167801, 100167790)
(1272498909, 1272462352)
(1131574771, 1131574677)
(1052277730, 1052277811)
(687060500, 687060342)
(26058739, 1242340711)
(503706177, 1271562002)
(336969867, 1242340692)
(100167741, 100167736)
(1131574756, 1131574840)
(687060568, 687060567)
(1110673652, 1110673555)
(1167473332, 1167473339)
(1271609165, 1271609163)
(1272500922, 503706168)
(1167473328, 1167473387)
(1340357501, 404735527)
(998240182, 390064887)
(506296058, 506296056)
(1315892727, 1315892714)
(1237293080, 1237293084)
(1272432647, 1272432539)
(356802816, 352646776)
(1272498909, 1272498922)
(1272466678, 1272466671)
(336969777, 336969780)
(1232540758, 1237289840)
(404735096, 1330213754)
(1110673710, 390279553)
(404737859, 458580252)
(1232229601, 1232229596)
(1103236636, 464755872)
(1103236581, 1103236577)
(534789259, 534789260)
(1052277823, 1052278367)
(503706195, 503706196)
(1103236649, 410351789)
(392953465, 1232540721)
(1131574854, 1131574879)
(1032260694, 1032260719)
(26058745, 26058746)
(457515544, 1232665826)
(1330213756, 1330213755)
(404735108, 404735107)
(1131574881, 1131574890)
(100167189, 100167185)
(1052277262, 1052278388)
(1103236650, 403618722)
(689479601, 689479589)
(503706267, 503706266)
(1315891218, 1315891222)
(410351798, 410351799)
(1272158081, 1272158083)
(1330250253, 1330250328)
(687060325, 687060324)
(336970066, 391284760)
(1272483369, 1272483382)
(1131574885, 1131574776)
(1167473313, 1167473316)
(1167473316, 464757325)
(100167757, 100167761)
(100168402, 100168403)
(100167736, 998195415)
(383979511, 384994721)
(457560239, 457560238)
(100174645, 100174637)
(689479589, 689479587)
(503706261, 503706260)
(26018663, 719013787)
(390280425, 534833608)
(26020482, 814271646)
(1068433656, 1068433670)
(399765504, 399764071)
(1272483379, 1272483370)
(1237289840, 402740883)
(464755810, 464755812)
(814271515, 814271414)
(1330250392, 1330250524)
(503706244, 503706245)
(464755818, 464755821)
(1330651038, 1330651042)
(1272495223, 1272495241)
(503706238, 503706239)
(404737172, 404737171)
(1272483346, 1272483371)
(404737928, 385013604)
(701191163, 701169134)
(391276866, 998240232)
(1052278185, 1052276341)
(1330250147, 1330250443)
(1315886935, 1315886921)
(1271574715, 1271574704)
(1030926683, 410351542)
(531585834, 457553791)
(1110673547, 1110673552)
(534789258, 534789259)
(391647754, 391647812)
(464755752, 464755743)
(26020367, 410351197)
(1131574874, 1131574731)
(689479583, 689479575)
(1167473378, 1167473324)
(1330250130, 1330250054)
(503706143, 503706144)
(1271614049, 1271614046)
(503706241, 503706242)
(100167788, 100167778)
(1110350198, 718791668)
(1052276542, 1052276576)
(1167473359, 1167473332)
(1131574866, 1131574791)
(1274931543, 1274931541)
(26020488, 26020486)
(1237293081, 1237293078)
(390067339, 534789257)
(1052276478, 1052276738)
(1330250268, 1330250243)
(404737854, 404737855)
(503706290, 503706291)
(26058946, 26058947)
(888393347, 888393498)
(534833608, 330341307)
(1272495266, 1272495217)
(399766336, 399766684)
(503706193, 503706194)
(1068433651, 1068433663)
(457553791, 1173286475)
(1052276971, 1052277823)
(457547060, 1105969492)
(385013742, 689479803)
(1272146123, 1272148948)
(1052276288, 1052278089)
(1103430947, 1103430960)
(1327589143, 1327589133)
(534823163, 534823164)
(1110673699, 457547298)
(26058941, 26058942)
(1330250385, 1330250207)
(1173286513, 457553791)
(1340357521, 1340357493)
(384994722, 384994723)
(503706206, 503706207)
(1232540721, 392953465)
(457547424, 457546942)
(1032260764, 1032260679)
(26019992, 26019990)
(1131574823, 1131574743)
(1272483354, 1272483381)
(457546997, 1110673659)
(464757254, 464757258)
(464755680, 464755686)
(1272495264, 1272483344)
(701134651, 701134654)
(1330250108, 1330250080)
(998240268, 391276925)
(1110673699, 457547354)
(994136199, 1103430984)
(1274939473, 1274939506)
(100164221, 100165425)
(384987364, 384987367)
(336969993, 336969998)
(503706149, 503706150)
(1330213775, 1330213763)
(464755799, 464755895)
(1330250394, 1330250562)
(410364073, 410364074)
(410351785, 410351786)
(1110673675, 1110673519)
(1103908542, 1103908516)
(1330250086, 1330250156)
(534833605, 392954113)
(534823168, 534823169)
(689479626, 385011812)
(1030926710, 410351547)
(404737177, 404737176)
(1330651031, 1330651069)
(1103431005, 1103430986)
(339535444, 339535452)
(1272495244, 1272495262)
(1272432618, 1272432577)
(336969973, 336969969)
(404737856, 404737858)
(1112966929, 1112966801)
(1232229596, 1232229605)
(1131574748, 1131574866)
(1167473383, 1167473333)
(1131574895, 1131574847)
(1280624167, 1280624169)
(26058751, 1272432651)
(1330646809, 1330646814)
(718791662, 1110350192)
(384987432, 384987434)
(336969936, 624293465)
(1272150657, 1272150653)
